biomarker_id,analyte_name,specimen,measurement_property,canonical_unit,category,panel_seed,is_derived,aliases,loinc_code,loinc_component,default_reference_range_notes
14805-6,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,Serum/Plasma,Catalytic concentration,arb U/L,Chemistry,Cardiac Markers,False,"[""LDH Pyruvate to lactate reaction [Catalytic activity/Vol]"", ""LDH SerPl P to L-cCnc""]",14805-6,Lactate dehydrogenase,
14957-5,Microalbumin [Mass/volume] in Urine,Urine,Mass concentration,mg/L,Chemistry,Urinalysis,False,"[""Albumin DL <= 20 mg/L (U) [Mass/Vol]"", ""Microalbumin Ur-mCnc""]",14957-5,Albumin,
14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine,Urine,MRto,mg/g creatinine,Chemistry,Urinalysis,False,"[""Albumin/Creatinine DL <= 20 mg/L (U) [Mass ratio]"", ""Microalbumin/Creat Ur""]",14959-1,Albumin/Creatinine,
15067-2,Follitropin [Units/volume] in Serum or Plasma,Serum/Plasma,Arbitrary concentration,IU/L,Chemistry,Hormones,False,"[""FSH"", ""FSH SerPl-aCnc"", ""Follicle Stimulating Hormone"", ""Follitropin Qn""]",15067-2,Follitropin,
15152-2,Bilirubin.conjugated [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Liver Function Test,False,"[""Bilirub Conj SerPl-mCnc"", ""Bilirubin.conjugated [Mass/Vol]""]",15152-2,Bilirubin.glucuronidated,
1521-4,Glucose [Mass/volume] in Serum or Plasma --2 hours post meal,Serum/Plasma,Mass concentration,mg/dL,CHAL.ROUTINE,Diabetes Panel,False,"[""Glucose 2 Hr post meal [Mass/Vol]"", ""Glucose 2h p meal SerPl-mCnc"", ""Glucose 2hr Post"", ""PPBS"", ""Post Prandial Blood Sugar""]",1521-4,Glucose^2H post meal,
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,CHAL.ROUTINE,Diabetes Panel,False,"[""FBG"", ""FBS"", ""Fasting Blood Glucose"", ""Fasting Blood Sugar"", ""Fasting Glucose"", ""Fasting Plasma Glucose"", ""Glucose p fast SerPl-mCnc"", ""Glucose post fast [Mass/Vol]""]",1558-6,Glucose^post CFst,"< 100: Normal
100 to 126: Pre-diabetic
>126: Diabetic"
16362-6,Ammonia [Moles/volume] in Plasma,Plasma,Substance concentration,umol/L,Chemistry,Other,False,"[""Ammonia (P) [Moles/Vol]"", ""Ammonia Plas-sCnc""]",16362-6,Ammonia,
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Serum/Plasma,Catalytic concentration,U/L,Chemistry,Liver Function Test,False,"[""ALT"", ""ALT SerPl-cCnc"", ""ALT [Catalytic activity/Vol]"", ""Alanine Aminotransferase"", ""Alanine Transaminase"", ""SGPT"", ""SGPT/ALT"", ""Serum Glutamic Pyruvic Transaminase""]",1742-6,Alanine aminotransferase,
1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,Serum/Plasma,Catalytic concentration,arb U/L,Chemistry,Liver Function Test,False,"[""ALT SerPl w P-5'-P-cCnc"", ""ALT With P-5'-P [Catalytic activity/Vol]""]",1743-4,Alanine aminotransferase,
1744-2,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,Serum/Plasma,Catalytic concentration,arb U/L,Chemistry,Liver Function Test,False,"[""ALT No additional P-5'-P [Catalytic activity/Vol]"", ""ALT SerPl w/o P-5'-P-cCnc""]",1744-2,Alanine aminotransferase,
1751-7,Albumin [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,g/dL,Chemistry,Liver Function Test,False,"[""Alb"", ""Albumin"", ""Albumin SerPl-mCnc"", ""Albumin [Mass/Vol]"", ""Serum Albumin""]",1751-7,Albumin,3.4 - 4.8
1754-1,Albumin [Mass/volume] in Urine,Urine,Mass concentration,mg/L,Chemistry,Urinalysis,False,"[""Albumin (U) [Mass/Vol]"", ""Albumin Ur-mCnc""]",1754-1,Albumin,
1759-0,Albumin/Globulin [Mass Ratio] in Serum or Plasma,Serum/Plasma,MRto,ratio,Chemistry,Liver Function Test,False,"[""Albumin/Glob SerPl"", ""Albumin/Globulin [Mass ratio]""]",1759-0,Albumin/Globulin,
17849-1,Reticulocytes/Erythrocytes in Blood by Automated count,Whole Blood,Number fraction,%,Hematology,Complete Blood Count,False,"[""Retics/RBC NFr Auto"", ""Reticulocytes/Erythrocytes Auto (Bld)""]",17849-1,Reticulocytes/Erythrocytes,
17856-6,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,Whole Blood,Mass fraction,%,Chemistry,HbA1c Panel,False,"[""A1C"", ""Glycated Haemoglobin"", ""Glycated Hemoglobin"", ""Glycosylated Haemoglobin"", ""Glycosylated Hemoglobin"", ""HBA1C"", ""HbA1c"", ""HbA1c HPLC (Bld) [Mass fraction]"", ""HbA1c MFr Bld HPLC"", ""Hba1c"", ""Hemoglobin A1c"", ""HgbA1c""]",17856-6,Hemoglobin A1c/Hemoglobin.total,"<5.7: Normal
5.7 to 6.5: Pre-diabetic
>6.5: Diabetic"
17861-6,Calcium [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Electrolytes,False,"[""Ca"", ""Ca++"", ""Calcium"", ""Calcium SerPl-mCnc"", ""Calcium Serum"", ""Calcium [Mass/Vol]"", ""Serum Calcium"", ""Total Calcium""]",17861-6,Calcium,8.7 - 10.4
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Serum/Plasma,Catalytic concentration,U/L,Chemistry,Pancreatic Enzymes,False,"[""Amylase"", ""Amylase SerPl-cCnc"", ""Amylase [Catalytic activity/Vol]"", ""Serum Amylase""]",1798-8,Amylase,25 - 125
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,False,"[""Cholesterol in LDL Direct assay [Mass/Vol]"", ""LDLc SerPl Direct Assay-mCnc""]",18262-6,Cholesterol.in LDL,
1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,ug/L,Chemistry,Liver Function Test,False,"[""AFP"", ""AFP SerPl-mCnc"", ""AFP [Mass/Vol]"", ""Alpha Fetoprotein""]",1834-1,Alpha-1-Fetoprotein,
1863-0,Anion gap in Serum or Plasma by Calculated.4Ions,Serum/Plasma,Substance concentration,mmol/L,Chemistry,Other,False,"[""Anion Gap SerPl Calculated.4Ions-sCnc"", ""Anion gap Calculated.4Ions [Moles/Vol]""]",1863-0,Anion gap,
19048-8,Nucleated erythrocytes/Leukocytes [Ratio] in Blood,Whole Blood,Ratio,/100 WBC,Hematology,Complete Blood Count,False,"[""Nucleated RBC/Leukocytes (Bld) [Ratio]"", ""nRBC Bld-Rto""]",19048-8,Erythrocytes.nucleated/Leukocytes,
19123-9,Magnesium [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Electrolytes,False,"[""Magnesium"", ""Magnesium SerPl-mCnc"", ""Magnesium [Mass/Vol]"", ""Mg"", ""Serum Magnesium""]",19123-9,Magnesium,
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Serum/Plasma,Catalytic concentration,U/L,Chemistry,Liver Function Test,False,"[""AST"", ""AST SerPl-cCnc"", ""AST [Catalytic activity/Vol]"", ""Aspartate Aminotransferase"", ""Aspartate Transaminase"", ""SGOT"", ""SGOT/AST"", ""Serum Glutamic Oxaloacetic Transaminase""]",1920-8,Aspartate aminotransferase,
19254-2,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,Whole Blood,PPres,mm Hg,Chemistry,Other,False,"[""Oxygen adjusted to patient's actual temperature (Bld) [Partial pressure]"", ""pO2 temp adj Bld""]",19254-2,Oxygen^^adjusted to patient's actual temperature,
1925-7,Base excess in Arterial blood by calculation,Arterial Blood,Substance concentration,mmol/L,Chemistry,Other,False,"[""Base excess BldA Calc-sCnc"", ""Base excess Calc (BldA) [Moles/Vol]""]",1925-7,Base excess,
1959-6,Bicarbonate [Moles/volume] in Blood,Whole Blood,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""HCO3 (Bld) [Moles/Vol]"", ""HCO3 Bld-sCnc""]",1959-6,Bicarbonate,
